sim_seed,sim_pop_mu,sim_pop_mu_sd,sim_pop_beta,sim_pop_beta_sd,sim_sigma,mod_pop_mu,mod_pop_mu_sd,mod_pop_beta,mod_pop_beta_sd,mod_sigma
1,500,100,7.2,0.1,100,523.4732671399296,68.96058120483359,7.236597172741051,0.07360661524746683,4.4989235988959395
1,500,100,7.2,0.2,100,527.5698911238626,61.32630425643499,7.253057385023468,0.182713366155656,4.497443594650856
1,500,100,7.4,0.1,100,526.5162361877342,66.5408851332535,7.43722474866038,0.0514230125700837,4.498969308827631
1,500,100,7.4,0.2,100,530.2586360813342,61.01362900324018,7.45468698324768,0.17167648976063388,4.501382867188976
1,500,100,7.6,0.1,100,523.9712027220759,91.00652599209607,7.641167872450605,0.047561264111232134,4.500928862865989
1,500,100,7.6,0.2,100,526.9330546607358,80.5050356543155,7.659991368122178,0.16631285209283383,4.499452213704295
1,500,200,7,0.1,100,528.0321648401658,167.2001893416226,7.036397352669398,0.07869360187087801,4.498714565652754
1,500,200,7,0.2,100,524.6955229152343,161.69691225241428,7.056873415990385,0.18587502095056868,4.500092419253771
1,500,200,7.2,0.1,100,528.0155937366022,161.78780985526524,7.239072361053084,0.05804033158122049,4.5003889528428305
1,500,200,7.2,0.2,100,529.0159321049106,158.75252066401072,7.25641064084303,0.17682498144305386,4.497688562774069
1,500,200,7.4,0.1,100,525.9832492618364,162.36581147077968,7.440897035199384,0.062083298786136804,4.498979211089373
1,500,200,7.4,0.2,100,531.8002013828158,152.33175152660868,7.459091151036487,0.17685387435948713,4.4989481741325434
1,500,200,7.6,0.1,100,523.5047252639232,162.39046448979758,7.646071125429151,0.047642168124259344,4.499934257116371
1,500,200,7.6,0.2,100,527.6333098188423,153.92347279811838,7.66350927802265,0.16883474701362333,4.500415039377603
1,100,50,7,0.1,100,111.48637458975908,47.387345925231024,7.0430156315346455,0.04761983705747563,4.50129442265576
1,100,50,7,0.2,100,111.67137141720161,46.83486565516698,7.064604396654653,0.16699469143555826,4.500625948662953
1,100,50,7.2,0.1,100,117.06267110099118,49.203829678502025,7.239659823361899,0.047301462284255094,4.49869960221844
1,100,50,7.2,0.2,100,110.85298430595813,48.091844274303064,7.265216413592979,0.16953789178322465,4.499324011437502
1,100,50,7.4,0.1,100,115.77979275534604,58.790204636642066,7.442477426437228,0.05061751566318881,4.501773049842703
1,100,50,7.4,0.2,100,119.79335900553355,59.72971736921096,7.461228589494561,0.17507550571519107,4.500922123101967
1,100,50,7.6,0.1,100,119.56561004858918,62.09865347588358,7.641272418564621,0.05526330053057238,4.500463689217769
1,100,50,7.6,0.2,100,124.21233131062564,62.17304284100152,7.65918486807853,0.17555079617482153,4.499852534470695
1,100,100,7,0.1,100,108.88127134820051,96.68678252792506,7.048239480195412,0.05457821643337567,4.499355123458971
1,100,100,7,0.2,100,113.05376518572349,96.26056667040599,7.064354166412718,0.169062382370988,4.500374402101116
1,100,100,7.2,0.1,100,113.81524923330048,92.23050974259363,7.24429079384647,0.04933370505639407,4.50036691127878
1,100,100,7.2,0.2,100,115.94150877983634,87.75997012485342,7.264141632411597,0.1702265381347843,4.499981903980966
1,100,100,7.4,0.1,100,119.91394640840251,82.65292858414476,7.442107941181584,0.05735265825851796,4.499242808846161
1,100,100,7.4,0.2,100,120.75109449975011,81.42440435728194,7.4619462593850505,0.17446924088409083,4.50186599891026
1,100,100,7.6,0.1,100,126.19847748020993,74.88777101272797,7.6393541527119835,0.05690090267305986,4.498463400596627
1,100,100,7.6,0.2,100,123.67042542553985,75.32267140410185,7.663077589986638,0.17858505515390535,4.4985036945779076
1,100,200,7,0.1,100,112.45908574594138,180.75447148920514,7.052251981706787,0.049245214947825126,4.498832418434021
1,100,200,7,0.2,100,109.62750196764692,181.0814013144239,7.070658342737878,0.17509336951373206,4.501761846741876
1,100,200,7.2,0.1,100,117.81624633816867,173.53194959305907,7.2480780526734065,0.05645885756330958,4.501236554857213
1,100,200,7.2,0.2,100,117.90331542676282,172.56527578167382,7.265676156079181,0.17615620388310319,4.500959768218036
1,100,200,7.4,0.1,100,124.41416953060921,172.90907001369197,7.443303775589287,0.05559417390570347,4.500509849028875
1,100,200,7.4,0.2,100,124.22687757361525,163.52324425181618,7.462685172551134,0.17729022685964746,4.501447585091571
1,100,200,7.6,0.1,100,134.0064849683673,151.5463724863324,7.640275649866473,0.055656159567641084,4.5002938944956705
